 70.86  ,  0  ,  0  ,  0 , 0
 70.86  ,  0  ,  0  ,  0 , 0
 70.86  ,  0  ,  0  ,  0 , 0
 70.87  ,  0  ,  0  ,  0 , 0
 70.87  ,  0  ,  0  ,  0 , 0
 70.87  ,  0  ,  0  ,  0 , 0
 70.87  ,  0  ,  0  ,  0 , 0
 70.87  ,  0  ,  0  ,  0 , 0
 70.88  ,  0  ,  0  ,  0 , 0
 70.88  ,  0  ,  0  ,  0 , 0
 70.88  ,  0  ,  0  ,  0 , 0
 70.88  ,  0  ,  0  ,  0 , 0
 70.88  ,  0  ,  0  ,  0 , 0
 70.89  ,  0  ,  0  ,  0 , 0
 70.89  ,  0  ,  0  ,  0 , 0
 70.89  ,  0  ,  0  ,  0 , 0
 70.89  ,  0  ,  0  ,  0 , 0
 70.90  ,  0  ,  0  ,  0 , 0
 70.90  ,  0  ,  0  ,  0 , 0
 70.90  ,  0  ,  0  ,  0 , 0
 70.90  ,  0  ,  0  ,  0 , 0
 70.90  ,  0  ,  0  ,  0 , 0
 70.91  ,  0  ,  0  ,  0 , 0
 70.91  ,  0  ,  0  ,  0 , 0
 70.91  ,  0  ,  0  ,  0 , 0
 70.91  ,  0  ,  0  ,  0 , 0
 70.91  ,  0  ,  0  ,  0 , 0
 70.92  ,  0  ,  0  ,  0 , 0
 70.92  ,  0  ,  0  ,  0 , 0
 70.92  ,  0  ,  0  ,  0 , 0
 70.92  ,  0  ,  0  ,  0 , 0
 70.93  ,  0  ,  0  ,  0 , 0
 70.93  ,  0  ,  0  ,  0 , 0
 70.93  ,  0  ,  0  ,  0 , 0
 70.93  ,  0  ,  0  ,  0 , 0
 70.93  ,  0  ,  0  ,  0 , 0
 70.94  ,  0  ,  0  ,  0 , 0
 70.94  ,  0  ,  0  ,  0 , 0
 70.94  ,  0  ,  0  ,  0 , 0
 70.94  ,  0  ,  0  ,  0 , 0
 70.94  ,  0  ,  0  ,  0 , 0
 70.95  ,  0  ,  0  ,  0 , 0
 70.95  ,  0  ,  0  ,  0 , 0
 70.95  ,  0  ,  0  ,  0 , 0
 70.95  ,  0  ,  0  ,  0 , 0
 70.95  ,  0  ,  0  ,  0 , 0
 70.96  ,  0  ,  0  ,  0 , 0
 70.96  ,  0  ,  0  ,  0 , 0
 70.96  ,  0  ,  0  ,  0 , 0
 70.96  ,  0  ,  0  ,  0 , 0
 70.97  ,  0  ,  0  ,  0 , 0
 70.97  ,  0  ,  0  ,  0 , 0
 70.97  ,  0  ,  0  ,  0 , 0
 70.97  ,  0  ,  0  ,  0 , 0
 70.97  ,  0  ,  0  ,  0 , 0
 70.98  ,  0  ,  0  ,  0 , 0
 70.98  ,  0  ,  0  ,  0 , 0
 70.98  ,  0  ,  0  ,  0 , 0
 70.98  ,  0  ,  0  ,  0 , 0
 70.98  ,  0  ,  0  ,  0 , 0
 70.99  ,  0  ,  0  ,  0 , 0
 70.99  ,  0  ,  0  ,  0 , 0
 70.99  ,  0  ,  0  ,  0 , 0
 70.99  ,  0  ,  0  ,  0 , 0
 71.00  ,  0  ,  0  ,  0 , 0
 71.00  ,  0  ,  0  ,  0 , 0
 71.00  ,  0  ,  0  ,  0 , 0
 71.00  ,  0  ,  0  ,  0 , 0
 71.00  ,  0  ,  0  ,  0 , 0
 71.01  ,  0  ,  0  ,  0 , 0
 71.01  ,  0  ,  0  ,  0 , 0
 71.01  ,  0  ,  0  ,  0 , 0
 71.01  ,  0  ,  0  ,  0 , 0
 71.01  ,  0  ,  0  ,  0 , 0
 71.02  ,  0  ,  0  ,  0 , 0
 71.02  ,  0  ,  0  ,  0 , 0
 71.02  ,  0  ,  0  ,  0 , 0
 71.02  ,  0  ,  0  ,  0 , 0
 71.02  ,  0  ,  0  ,  0 , 0
 71.03  ,  0  ,  0  ,  0 , 0
 71.03  ,  0  ,  0  ,  0 , 0
 71.03  ,  0  ,  0  ,  0 , 0
 71.03  ,  0  ,  0  ,  0 , 0
 71.04  ,  0  ,  0  ,  0 , 0
 71.04  ,  0  ,  0  ,  0 , 0
 71.04  ,  0  ,  0  ,  0 , 0
 71.04  ,  0  ,  0  ,  0 , 0
 71.04  ,  0  ,  0  ,  0 , 0
 71.05  ,  0  ,  0  ,  0 , 0
 71.05  ,  0  ,  0  ,  0 , 0
 71.05  ,  0  ,  0  ,  0 , 0
 71.05  ,  0  ,  0  ,  0 , 0
 71.05  ,  0  ,  0  ,  0 , 0
 71.06  ,  0  ,  0  ,  0 , 0
 71.06  ,  0  ,  0  ,  0 , 0
 71.06  ,  0  ,  0  ,  0 , 0
 71.06  ,  0  ,  0  ,  0 , 0
 71.07  ,  0  ,  0  ,  0 , 0
 71.07  ,  0  ,  0  ,  0 , 0
 71.07  ,  0  ,  0  ,  0 , 0
 71.07  ,  0  ,  0  ,  0 , 0
 71.07  ,  0  ,  0  ,  0 , 0
 71.08  ,  0  ,  0  ,  0 , 0
 71.08  ,  0  ,  0  ,  0 , 0
 71.08  ,  0  ,  0  ,  0 , 0
 71.08  ,  0  ,  0  ,  0 , 0
 71.08  ,  0  ,  0  ,  0 , 0
 71.09  ,  0  ,  0  ,  0 , 0
 71.09  ,  0  ,  0  ,  0 , 0
 71.09  ,  0  ,  0  ,  0 , 0
 71.09  ,  0  ,  0  ,  0 , 0
 71.10  ,  0  ,  0  ,  0 , 0
 71.10  ,  0  ,  0  ,  0 , 0
 71.10  ,  0  ,  0  ,  0 , 0
 71.10  ,  0  ,  0  ,  0 , 0
 71.10  ,  0  ,  0  ,  0 , 0
 71.11  ,  0  ,  0  ,  0 , 0
 71.11  ,  0  ,  0  ,  0 , 0
 71.11  ,  0  ,  0  ,  0 , 0
 71.11  ,  0  ,  0  ,  0 , 0
 71.11  ,  0  ,  0  ,  0 , 0
 71.12  ,  0  ,  0  ,  0 , 0
 71.12  ,  0  ,  0  ,  0 , 0
 71.12  ,  0  ,  0  ,  0 , 0
 71.12  ,  0  ,  0  ,  0 , 0
 71.12  ,  0  ,  0  ,  0 , 0
 71.13  ,  0  ,  0  ,  0 , 0
 71.13  ,  0  ,  0  ,  0 , 0
 71.13  ,  0  ,  0  ,  0 , 0
 71.13  ,  0  ,  0  ,  0 , 0
 71.14  ,  0  ,  0  ,  0 , 0
 71.14  ,  0  ,  0  ,  0 , 0
 71.14  ,  0  ,  0  ,  0 , 0
 71.14  ,  0  ,  0  ,  0 , 0
 71.14  ,  0  ,  0  ,  0 , 0
 71.15  ,  0  ,  0  ,  0 , 0
 71.15  ,  0  ,  0  ,  0 , 0
 71.15  ,  0  ,  0  ,  0 , 0
 71.15  ,  0  ,  0  ,  0 , 0
 71.15  ,  0  ,  0  ,  0 , 0
 71.16  ,  0  ,  0  ,  0 , 0
 71.16  ,  0  ,  0  ,  0 , 0
 71.16  ,  0  ,  0  ,  0 , 0
 71.16  ,  0  ,  0  ,  0 , 0
 71.17  ,  0  ,  0  ,  0 , 0
 71.17  ,  0  ,  0  ,  0 , 0
 71.17  ,  0  ,  0  ,  0 , 0
 71.17  ,  0  ,  0  ,  0 , 0
 71.17  ,  0  ,  0  ,  0 , 0
 71.18  ,  0  ,  0  ,  0 , 0
 71.18  ,  0  ,  0  ,  0 , 0
 71.18  ,  0  ,  0  ,  0 , 0
 71.18  ,  0  ,  0  ,  0 , 0
 71.18  ,  0  ,  0  ,  0 , 0
 71.19  ,  0  ,  0  ,  0 , 0
 71.19  ,  0  ,  0  ,  0 , 0
 71.19  ,  0  ,  0  ,  0 , 0
 71.19  ,  0  ,  0  ,  0 , 0
 71.19  ,  0  ,  0  ,  0 , 0
 71.20  ,  0  ,  0  ,  0 , 0
 71.20  ,  0  ,  0  ,  0 , 0
 71.20  ,  0  ,  0  ,  0 , 0
 71.20  ,  0  ,  0  ,  0 , 0
 71.21  ,  0  ,  0  ,  0 , 0
 71.21  ,  0  ,  0  ,  0 , 0
 71.21  ,  0  ,  0  ,  0 , 0
 71.21  ,  0  ,  0  ,  0 , 0
 71.21  ,  0  ,  0  ,  0 , 0
 71.22  ,  0  ,  0  ,  0 , 0
 71.22  ,  0  ,  0  ,  0 , 0
 71.22  ,  0  ,  0  ,  0 , 0
 71.22  ,  0  ,  0  ,  0 , 0
 71.22  ,  0  ,  0  ,  0 , 0
 71.23  ,  0  ,  0  ,  0 , 0
 71.23  ,  0  ,  0  ,  0 , 0
 71.23  ,  0  ,  0  ,  0 , 0
 71.23  ,  0  ,  0  ,  0 , 0
 71.24  ,  0  ,  0  ,  0 , 0
 71.24  ,  0  ,  0  ,  0 , 0
 71.24  ,  0  ,  0  ,  0 , 0
 71.24  ,  0  ,  0  ,  0 , 0
 71.24  ,  0  ,  0  ,  0 , 0
 71.25  ,  0  ,  0  ,  0 , 0
 71.25  ,  0  ,  0  ,  0 , 0
 71.25  ,  0  ,  0  ,  0 , 0
 71.25  ,  0  ,  0  ,  0 , 0
 71.25  ,  0  ,  0  ,  0 , 0
 71.26  ,  0  ,  0  ,  0 , 0
 71.26  ,  0  ,  0  ,  0 , 0
 71.26  ,  0  ,  0  ,  0 , 0
 71.26  ,  0  ,  0  ,  0 , 0
 71.27  ,  0  ,  0  ,  0 , 0
 71.27  ,  0  ,  0  ,  0 , 0
 71.27  ,  0  ,  0  ,  0 , 0
 71.27  ,  0  ,  0  ,  0 , 0
 71.27  ,  0  ,  0  ,  0 , 0
 71.28  ,  0  ,  0  ,  0 , 0
 71.28  ,  0  ,  0  ,  0 , 0
 71.28  ,  0  ,  0  ,  0 , 0
 71.28  ,  0  ,  0  ,  0 , 0
 71.28  ,  0  ,  0  ,  0 , 0
 71.29  ,  0  ,  0  ,  0 , 0
 71.29  ,  0  ,  0  ,  0 , 0
 71.29  ,  0  ,  0  ,  0 , 0
 71.29  ,  0  ,  0  ,  0 , 0
 71.29  ,  0  ,  0  ,  0 , 0
 71.30  ,  0  ,  0  ,  0 , 0
 71.30  ,  0  ,  0  ,  0 , 0
 71.30  ,  0  ,  0  ,  0 , 0
 71.30  ,  0  ,  0  ,  0 , 0
 71.31  ,  0  ,  0  ,  0 , 0
 71.31  ,  0  ,  0  ,  0 , 0
 71.31  ,  0  ,  0  ,  0 , 0
 71.31  ,  0  ,  0  ,  0 , 0
 71.31  ,  0  ,  0  ,  0 , 0
 71.32  ,  0  ,  0  ,  0 , 0
 71.32  ,  0  ,  0  ,  0 , 0
 71.32  ,  0  ,  0  ,  0 , 0
 71.32  ,  0  ,  0  ,  0 , 0
 71.32  ,  0  ,  0  ,  0 , 0
 71.33  ,  0  ,  0  ,  0 , 0
 71.33  ,  0  ,  0  ,  0 , 0
 71.33  ,  0  ,  0  ,  0 , 0
 71.33  ,  0  ,  0  ,  0 , 0
 71.34  ,  0  ,  0  ,  0 , 0
 71.34  ,  0  ,  0  ,  0 , 0
 71.34  ,  0  ,  0  ,  0 , 0
 71.34  ,  0  ,  0  ,  0 , 0
 71.34  ,  0  ,  0  ,  0 , 0
 71.35  ,  0  ,  0  ,  0 , 0
 71.35  ,  0  ,  0  ,  0 , 0
 71.35  ,  0  ,  0  ,  0 , 0
 71.35  ,  0  ,  0  ,  0 , 0
 71.35  ,  0  ,  0  ,  0 , 0
 71.36  ,  0  ,  0  ,  0 , 0
 71.36  ,  0  ,  0  ,  0 , 0
 71.36  ,  0  ,  0  ,  0 , 0
 71.36  ,  0  ,  0  ,  0 , 0
 71.36  ,  0  ,  0  ,  0 , 0
 71.37  ,  0  ,  0  ,  0 , 0
 71.37  ,  0  ,  0  ,  0 , 0
 71.37  ,  0  ,  0  ,  0 , 0
 71.37  ,  0  ,  0  ,  0 , 0
 71.38  ,  0  ,  0  ,  0 , 0
 71.38  ,  0  ,  0  ,  0 , 0
 71.38  ,  0  ,  0  ,  0 , 0
 71.38  ,  0  ,  0  ,  0 , 0
 71.38  ,  0  ,  0  ,  0 , 0
 71.39  ,  0  ,  0  ,  0 , 0
 71.39  ,  0  ,  0  ,  0 , 0
 71.39  ,  0  ,  0  ,  0 , 0
 71.39  ,  0  ,  0  ,  0 , 0
 71.39  ,  0  ,  0  ,  0 , 0
 71.40  ,  0  ,  0  ,  0 , 0
 71.40  ,  0  ,  0  ,  0 , 0
 71.40  ,  0  ,  0  ,  0 , 0
 71.40  ,  0  ,  0  ,  0 , 0
 71.41  ,  0  ,  0  ,  0 , 0
 71.41  ,  0  ,  0  ,  0 , 0
 71.41  ,  0  ,  0  ,  0 , 0
 71.41  ,  0  ,  0  ,  0 , 0
 71.41  ,  0  ,  0  ,  0 , 0
 71.42  ,  0  ,  0  ,  0 , 0
 71.42  ,  0  ,  0  ,  0 , 0
 71.42  ,  0  ,  0  ,  0 , 0
 71.42  ,  0  ,  0  ,  0 , 0
 71.42  ,  0  ,  0  ,  0 , 0
 71.43  ,  0  ,  0  ,  0 , 0
 71.43  ,  0  ,  0  ,  0 , 0
 71.43  ,  0  ,  0  ,  0 , 0
 71.43  ,  0  ,  0  ,  0 , 0
 71.44  ,  0  ,  0  ,  0 , 0
 71.44  ,  0  ,  0  ,  0 , 0
 71.44  ,  0  ,  0  ,  0 , 0
 71.44  ,  0  ,  0  ,  0 , 0
 71.44  ,  0  ,  0  ,  0 , 0
 71.45  ,  0  ,  0  ,  0 , 0
 71.45  ,  0  ,  0  ,  0 , 0
 71.45  ,  0  ,  0  ,  0 , 0
 71.45  ,  0  ,  0  ,  0 , 0
 71.45  ,  0  ,  0  ,  0 , 0
 71.46  ,  0  ,  0  ,  0 , 0
 71.46  ,  0  ,  0  ,  0 , 0
 71.46  ,  0  ,  0  ,  0 , 0
 71.46  ,  0  ,  0  ,  0 , 0
 71.46  ,  0  ,  0  ,  0 , 0
 71.47  ,  0  ,  0  ,  0 , 0
 71.47  ,  0  ,  0  ,  0 , 0
 71.47  ,  0  ,  0  ,  0 , 0
 71.47  ,  0  ,  0  ,  0 , 0
 71.48  ,  0  ,  0  ,  0 , 0
 71.48  ,  0  ,  0  ,  0 , 0
 71.48  ,  0  ,  0  ,  0 , 0
 71.48  ,  0  ,  0  ,  0 , 0
 71.48  ,  0  ,  0  ,  0 , 0
 71.49  ,  0  ,  0  ,  0 , 0
 71.49  ,  0  ,  0  ,  0 , 0
 71.49  ,  0  ,  0  ,  0 , 0
 71.49  ,  0  ,  0  ,  0 , 0
 71.49  ,  0  ,  0  ,  0 , 0
 71.50  ,  0  ,  0  ,  0 , 0
 71.50  ,  0  ,  0  ,  0 , 0
 71.50  ,  0  ,  0  ,  0 , 0
 71.50  ,  0  ,  0  ,  0 , 0
 71.51  ,  0  ,  0  ,  0 , 0
 71.51  ,  0  ,  0  ,  0 , 0
 71.51  ,  0  ,  0  ,  0 , 0
 71.51  ,  0  ,  0  ,  0 , 0
 71.51  ,  0  ,  0  ,  0 , 0
 71.52  ,  0  ,  0  ,  0 , 0
 71.52  ,  0  ,  0  ,  0 , 0
 71.52  ,  0  ,  0  ,  0 , 0
 71.52  ,  0  ,  0  ,  0 , 0
 71.52  ,  0  ,  0  ,  0 , 0
 71.53  ,  0  ,  0  ,  0 , 0
 71.53  ,  0  ,  0  ,  0 , 0
 71.53  ,  0  ,  0  ,  0 , 0
 71.53  ,  0  ,  0  ,  0 , 0
 71.53  ,  0  ,  0  ,  0 , 0
 71.54  ,  0  ,  0  ,  0 , 0
 71.54  ,  0  ,  0  ,  0 , 0
 71.54  ,  0  ,  0  ,  0 , 0
 71.54  ,  0  ,  0  ,  0 , 0
 71.55  ,  0  ,  0  ,  0 , 0
 71.55  ,  0  ,  0  ,  0 , 0
 71.55  ,  0  ,  0  ,  0 , 0
 71.55  ,  0  ,  0  ,  0 , 0
 71.55  ,  0  ,  0  ,  0 , 0
 71.56  ,  0  ,  0  ,  0 , 0
 71.56  ,  0  ,  0  ,  0 , 0
 71.56  ,  0  ,  0  ,  0 , 0
 71.56  ,  0  ,  0  ,  0 , 0
 71.56  ,  0  ,  0  ,  0 , 0
 71.57  ,  0  ,  0  ,  0 , 0
 71.57  ,  0  ,  0  ,  0 , 0
 71.57  ,  0  ,  0  ,  0 , 0
 71.57  ,  0  ,  0  ,  0 , 0
 71.58  ,  0  ,  0  ,  0 , 0
 71.58  ,  0  ,  0  ,  0 , 0
 71.58  ,  0  ,  0  ,  0 , 0
 71.58  ,  0  ,  0  ,  0 , 0
 71.58  ,  0  ,  0  ,  0 , 0
 71.59  ,  0  ,  0  ,  0 , 0
 71.59  ,  0  ,  0  ,  0 , 0
 71.59  ,  0  ,  0  ,  0 , 0
 71.59  ,  0  ,  0  ,  0 , 0
 71.59  ,  0  ,  0  ,  0 , 0
 71.60  ,  0  ,  0  ,  0 , 0
 71.60  ,  0  ,  0  ,  0 , 0
 71.60  ,  0  ,  0  ,  0 , 0
 71.60  ,  0  ,  0  ,  0 , 0
 71.61  ,  0  ,  0  ,  0 , 0
 71.61  ,  0  ,  0  ,  0 , 0
 71.61  ,  0  ,  0  ,  0 , 0
 71.61  ,  0  ,  0  ,  0 , 0
 71.61  ,  0  ,  0  ,  0 , 0
 71.62  ,  0  ,  0  ,  0 , 0
 71.62  ,  0  ,  0  ,  0 , 0
 71.62  ,  0  ,  0  ,  0 , 0
 71.62  ,  0  ,  0  ,  0 , 0
 71.62  ,  0  ,  0  ,  0 , 0
 71.63  ,  0  ,  0  ,  0 , 0
 71.63  ,  0  ,  0  ,  0 , 0
 71.63  ,  0  ,  0  ,  0 , 0
 71.63  ,  0  ,  0  ,  0 , 0
 71.63  ,  0  ,  0  ,  0 , 0
 71.64  ,  0  ,  0  ,  0 , 0
 71.64  ,  0  ,  0  ,  0 , 0
 71.64  ,  0  ,  0  ,  0 , 0
 71.64  ,  0  ,  0  ,  0 , 0
 71.65  ,  0  ,  0  ,  0 , 0
 71.65  ,  0  ,  0  ,  0 , 0
 71.65  ,  0  ,  0  ,  0 , 0
 71.65  ,  0  ,  0  ,  0 , 0
 71.65  ,  0  ,  0  ,  0 , 0
 71.66  ,  0  ,  0  ,  0 , 0
 71.66  ,  0  ,  0  ,  0 , 0
 71.66  ,  0  ,  0  ,  0 , 0
 71.66  ,  0  ,  0  ,  0 , 0
 71.66  ,  0  ,  0  ,  0 , 0
 71.67  ,  0  ,  0  ,  0 , 0
 71.67  ,  0  ,  0  ,  0 , 0
 71.67  ,  0  ,  0  ,  0 , 0
 71.67  ,  0  ,  0  ,  0 , 0
 71.68  ,  0  ,  0  ,  0 , 0
 71.68  ,  0  ,  0  ,  0 , 0
 71.68  ,  0  ,  0  ,  0 , 0
 71.68  ,  0  ,  0  ,  0 , 0
 71.68  ,  0  ,  0  ,  0 , 0
 71.69  ,  0  ,  0  ,  0 , 0
 71.69  ,  0  ,  0  ,  0 , 0
 71.69  ,  0  ,  0  ,  0 , 0
 71.69  ,  0  ,  0  ,  0 , 0
 71.69  ,  0  ,  0  ,  0 , 0
 71.70  ,  0  ,  0  ,  0 , 0
 71.70  ,  0  ,  0  ,  0 , 0
 71.70  ,  0  ,  0  ,  0 , 0
 71.70  ,  0  ,  0  ,  0 , 0
 71.70  ,  0  ,  0  ,  0 , 0
 71.71  ,  0  ,  0  ,  0 , 0
 71.71  ,  0  ,  0  ,  0 , 0
 71.71  ,  0  ,  0  ,  0 , 0
 71.71  ,  0  ,  0  ,  0 , 0
 71.72  ,  0  ,  0  ,  0 , 0
 71.72  ,  0  ,  0  ,  0 , 0
 71.72  ,  0  ,  0  ,  0 , 0
 71.72  ,  0  ,  0  ,  0 , 0
 71.72  ,  0  ,  0  ,  0 , 0
 71.73  ,  0  ,  0  ,  0 , 0
 71.73  ,  0  ,  0  ,  0 , 0
 71.73  ,  0  ,  0  ,  0 , 0
 71.73  ,  0  ,  0  ,  0 , 0
 71.73  ,  0  ,  0  ,  0 , 0
 71.74  ,  0  ,  0  ,  0 , 0
 71.74  ,  0  ,  0  ,  0 , 0
 71.74  ,  0  ,  0  ,  0 , 0
 71.74  ,  0  ,  0  ,  0 , 0
 71.75  ,  0  ,  0  ,  0 , 0
 71.75  ,  0  ,  0  ,  0 , 0
 71.75  ,  0  ,  0  ,  0 , 0
 71.75  ,  0  ,  0  ,  0 , 0
 71.75  ,  0  ,  0  ,  0 , 0
 71.76  ,  0  ,  0  ,  0 , 0
 71.76  ,  0  ,  0  ,  0 , 0
 71.76  ,  0  ,  0  ,  0 , 0
 71.76  ,  0  ,  0  ,  0 , 0
 71.76  ,  0  ,  0  ,  0 , 0
 71.77  ,  0  ,  0  ,  0 , 0
 71.77  ,  0  ,  0  ,  0 , 0
 71.77  ,  0  ,  0  ,  0 , 0
 71.77  ,  0  ,  0  ,  0 , 0
 71.78  ,  0  ,  0  ,  0 , 0
 71.78  ,  0  ,  0  ,  0 , 0
 71.78  ,  0  ,  0  ,  0 , 0
 71.78  ,  0  ,  0  ,  0 , 0
 71.78  ,  0  ,  0  ,  0 , 0
 71.79  ,  0  ,  0  ,  0 , 0
 71.79  ,  0  ,  0  ,  0 , 0
 71.79  ,  0  ,  0  ,  0 , 0
 71.79  ,  0  ,  0  ,  0 , 0
 71.79  ,  0  ,  0  ,  0 , 0
 71.80  ,  0  ,  0  ,  0 , 0
 71.80  ,  0  ,  0  ,  0 , 0
 71.80  ,  0  ,  0  ,  0 , 0
 71.80  ,  0  ,  0  ,  0 , 0
 71.80  ,  0  ,  0  ,  0 , 0
 71.81  ,  0  ,  0  ,  0 , 0
 71.81  ,  0  ,  0  ,  0 , 0
 71.81  ,  0  ,  0  ,  0 , 0
 71.81  ,  0  ,  0  ,  0 , 0
 71.82  ,  0  ,  0  ,  0 , 0
 71.82  ,  0  ,  0  ,  0 , 0
 71.82  ,  0  ,  0  ,  0 , 0
 71.82  ,  0  ,  0  ,  0 , 0
 71.82  ,  0  ,  0  ,  0 , 0
 71.83  ,  0  ,  0  ,  0 , 0
 71.83  ,  0  ,  0  ,  0 , 0
 71.83  ,  0  ,  0  ,  0 , 0
 71.83  ,  0  ,  0  ,  0 , 0
 71.83  ,  0  ,  0  ,  0 , 0
 71.84  ,  0  ,  0  ,  0 , 0
 71.84  ,  0  ,  0  ,  0 , 0
 71.84  ,  0  ,  0  ,  0 , 0
 71.84  ,  0  ,  0  ,  0 , 0
 71.85  ,  0  ,  0  ,  0 , 0
 71.85  ,  0  ,  0  ,  0 , 0
 71.85  ,  0  ,  0  ,  0 , 0
 71.85  ,  0  ,  0  ,  0 , 0
 71.85  ,  0  ,  0  ,  0 , 0
 71.86  ,  0  ,  0  ,  0 , 0
 71.86  ,  0  ,  0  ,  0 , 0
 71.86  ,  0  ,  0  ,  0 , 0
 71.86  ,  0  ,  0  ,  0 , 0
 71.86  ,  0  ,  0  ,  0 , 0
 71.87  ,  0  ,  0  ,  0 , 0
 71.87  ,  0  ,  0  ,  0 , 0
 71.87  ,  0  ,  0  ,  0 , 0
 71.87  ,  0  ,  0  ,  0 , 0
 71.87  ,  0  ,  0  ,  0 , 0
 71.88  ,  0  ,  0  ,  0 , 0
 71.88  ,  0  ,  0  ,  0 , 0
 71.88  ,  0  ,  0  ,  0 , 0
 71.88  ,  0  ,  0  ,  0 , 0
 71.89  ,  0  ,  0  ,  0 , 0
 71.89  ,  0  ,  0  ,  0 , 0
 71.89  ,  0  ,  0  ,  0 , 0
 71.89  ,  0  ,  0  ,  0 , 0
 71.89  ,  0  ,  0  ,  0 , 0
 71.90  ,  0  ,  0  ,  0 , 0
 71.90  ,  0  ,  0  ,  0 , 0
 71.90  ,  0  ,  0  ,  0 , 0
 71.90  ,  0  ,  0  ,  0 , 0
 71.90  ,  0  ,  0  ,  0 , 0
 71.91  ,  0  ,  0  ,  0 , 0
 71.91  ,  0  ,  0  ,  0 , 0
 71.91  ,  0  ,  0  ,  0 , 0
 71.91  ,  0  ,  0  ,  0 , 0
 71.92  ,  0  ,  0  ,  0 , 0
 71.92  ,  0  ,  0  ,  0 , 0
 71.92  ,  0  ,  0  ,  0 , 0
 71.92  ,  0  ,  0  ,  0 , 0
 71.92  ,  0  ,  0  ,  0 , 0
 71.93  ,  0  ,  0  ,  0 , 0
 71.93  ,  0  ,  0  ,  0 , 0
 71.93  ,  0  ,  0  ,  0 , 0
 71.93  ,  0  ,  0  ,  0 , 0
 71.93  ,  0  ,  0  ,  0 , 0
 71.94  ,  0  ,  0  ,  0 , 0
 71.94  ,  0  ,  0  ,  0 , 0
 71.94  ,  0  ,  0  ,  0 , 0
 71.94  ,  0  ,  0  ,  0 , 0
 71.95  ,  0  ,  0  ,  0 , 0
 71.95  ,  0  ,  0  ,  0 , 0
 71.95  ,  0  ,  0  ,  0 , 0
 71.95  ,  0  ,  0  ,  0 , 0
 71.95  ,  0  ,  0  ,  0 , 0
 71.96  ,  0  ,  0  ,  0 , 0
 71.96  ,  0  ,  0  ,  0 , 0
 71.96  ,  0  ,  0  ,  0 , 0
 71.96  ,  0  ,  0  ,  0 , 0
 71.96  ,  0  ,  0  ,  0 , 0
 71.97  ,  0  ,  0  ,  0 , 0
 71.97  ,  0  ,  0  ,  0 , 0
 71.97  ,  0  ,  0  ,  0 , 0
 71.97  ,  0  ,  0  ,  0 , 0
 71.97  ,  0  ,  0  ,  0 , 0
 71.98  ,  0  ,  0  ,  0 , 0
 71.98  ,  0  ,  0  ,  0 , 0
 71.98  ,  0  ,  0  ,  0 , 0
 71.98  ,  0  ,  0  ,  0 , 0
 71.99  ,  0  ,  0  ,  0 , 0
 71.99  ,  0  ,  0  ,  0 , 0
 71.99  ,  0  ,  0  ,  0 , 0
 71.99  ,  0  ,  0  ,  0 , 0
 71.99  ,  0  ,  0  ,  0 , 0
 72.00  ,  0  ,  0  ,  0 , 0
 72.00  ,  0  ,  0  ,  0 , 0
 72.00  ,  0  ,  0  ,  0 , 0
 72.00  ,  0  ,  0  ,  0 , 0
 72.00  ,  0  ,  0  ,  0 , 0
 72.01  ,  0  ,  0  ,  0 , 0
 72.01  ,  0  ,  0  ,  0 , 0
 72.01  ,  0  ,  0  ,  0 , 0
 72.01  ,  0  ,  0  ,  0 , 0
 72.02  ,  0  ,  0  ,  0 , 0
 72.02  ,  0  ,  0  ,  0 , 0
 72.02  ,  0  ,  0  ,  0 , 0
 72.02  ,  0  ,  0  ,  0 , 0
 72.02  ,  0  ,  0  ,  0 , 0
 72.03  ,  0  ,  0  ,  0 , 0
 72.03  ,  0  ,  0  ,  0 , 0
 72.03  ,  0  ,  0  ,  0 , 0
 72.03  ,  0  ,  0  ,  0 , 0
 72.03  ,  0  ,  0  ,  0 , 0
 72.04  ,  0  ,  0  ,  0 , 0
 72.04  ,  0  ,  0  ,  0 , 0
 72.04  ,  0  ,  0  ,  0 , 0
 72.04  ,  0  ,  0  ,  0 , 0
 72.04  ,  0  ,  0  ,  0 , 0
 72.05  ,  0  ,  0  ,  0 , 0
 72.05  ,  0  ,  0  ,  0 , 0
 72.05  ,  0  ,  0  ,  0 , 0
 72.05  ,  0  ,  0  ,  0 , 0
 72.06  ,  0  ,  0  ,  0 , 0
 72.06  ,  0  ,  0  ,  0 , 0
 72.06  ,  0  ,  0  ,  0 , 0
 72.06  ,  0  ,  0  ,  0 , 0
 72.06  ,  0  ,  0  ,  0 , 0
 72.07  ,  0  ,  0  ,  0 , 0
 72.07  ,  0  ,  0  ,  0 , 0
 72.07  ,  0  ,  0  ,  0 , 0
 72.07  ,  0  ,  0  ,  0 , 0
 72.07  ,  0  ,  0  ,  0 , 0
 72.08  ,  0  ,  0  ,  0 , 0
 72.08  ,  0  ,  0  ,  0 , 0
 72.08  ,  0  ,  0  ,  0 , 0
 72.08  ,  0  ,  0  ,  0 , 0
 72.09  ,  0  ,  0  ,  0 , 0
 72.09  ,  0  ,  0  ,  0 , 0
 72.09  ,  0  ,  0  ,  0 , 0
 72.09  ,  0  ,  0  ,  0 , 0
 72.09  ,  0  ,  0  ,  0 , 0
 72.10  ,  0  ,  0  ,  0 , 0
